"WordDiff" "WordSame" "ArabicDiff" "ArabicSame"
869 860.5 691 601
995 875 678 659
1056 930.5 833 826
1126 954 888 728
1044 909 865 839
925 856.5 1059.5 797
1172.5 896.5 926 766
1408.5 1311 854 986
1028 887 915 735
1011 863 761 657
726 674 663 583
982 894 831 640
1225 1179 1037 905.5
731 662 662.5 624
975.5 872.5 814 735
1130.5 811 843 657
945 909 867.5 754
747 752.5 777 687.5
656.5 659.5 572 539
919 833 752 611
751 744 683 553
774 735 671 612
941 931 901.5 700
751 785 789 735
767 737.5 724 639
813.5 750.5 711 625
1289.5 1140 904.5 784.5
1096.5 1009 1076 983
1083 958 918 746.5
1114 1046 1081 796
708 669 657 572.5
1201 925 1004.5 673.5
